%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1546977675580133543,243822,1546977675579645645,,-28.6743906149,-10.6216957921,-2.39884732906,-8.18520174644,-2.17441855995,1.96373733127
1546977675587734369,243823,1546977675587497604,,-28.8415655151,-10.7197666532,-2.16278336549,-8.17133739462,-2.18111819844,1.96216672505
1546977675596117848,243824,1546977675595663765,,-28.9435307846,-10.5351844355,-2.2553348805,-8.19376903552,-2.1877921334,1.99096547771
1546977675604156011,243825,1546977675603715264,,-28.7332571707,-10.5836410959,-2.14282498465,-8.08525478863,-2.1583397722,1.95945793767
1546977675612120189,243826,1546977675611676937,,-28.5715212071,-10.5090916734,-2.36670381628,-8.07387428536,-2.13972685926,1.95376539237
1546977675619792609,243827,1546977675619547485,,-28.8314913498,-10.5585854172,-2.63194853133,-8.20924645016,-2.16477953471,1.95986966231
1546977675627755879,243828,1546977675627533861,,-29.3338590134,-10.8743127218,-2.68829706164,-8.31849494339,-2.18361828225,2.00646554149
1546977675636151834,243829,1546977675635668851,,-29.0674167781,-10.5018975747,-2.4980296119,-8.1295284507,-2.15051042251,1.9992579451
1546977675644156306,243830,1546977675643699004,,-28.8237724431,-10.8257243274,-2.43820770554,-8.10758187472,-2.13345443812,1.97853092333
1546977675651991876,243831,1546977675651598735,,-28.6362569752,-10.6532997333,-2.33339180132,-8.13617486968,-2.17628595429,1.94390074724
1546977675659703476,243832,1546977675659531993,,-28.5848356299,-10.5981003482,-2.23896625751,-8.04268664503,-2.13645478258,1.95305403688
1546977675668088850,243833,1546977675667684197,,-28.5229626424,-10.5814659388,-2.21009697991,-8.01910830648,-2.10887715371,1.94653772168
1546977675675777918,243834,1546977675675574728,,-28.8608138477,-10.6587473868,-2.2554175392,-8.12818597504,-2.14342061525,1.9591269386
1546977675683772816,243835,1546977675683544493,,-29.1648163718,-10.8248758679,-2.51513686704,-8.25010654646,-2.1805333339,1.96092893589
1546977675691747923,243836,1546977675691530877,,-28.8359463156,-10.922028748,-2.38796479643,-8.02215561893,-2.09028822446,1.97598675215
1546977675700232280,243837,1546977675699695796,,-29.0953432328,-10.837580876,-2.56047372216,-8.03859534538,-2.05859859066,2.00093004842
1546977675707880035,243838,1546977675707593428,,-28.8821284086,-10.8103428952,-2.32679028493,-8.11365961525,-2.15100163909,1.9958382166
1546977675716249823,243839,1546977675715682520,,-26.9576137917,-9.8274464105,-1.68229060096,-7.57413550623,-2.0000255703,1.84080874383
1546977675724153325,243840,1546977675723672460,,-29.1455786396,-10.6089172188,-2.47395349828,-8.24479573377,-2.18577712165,2.00535107635
1546977675732719750,243841,1546977675731806449,,-28.9995947421,-10.7723629277,-2.57545855282,-8.17322772922,-2.16077016409,1.97528766249
1546977675740040850,243842,1546977675739644009,,-28.1573012206,-10.5446138785,-2.08881756335,-7.92458017557,-2.0881443798,1.9143030835
1546977675748327437,243843,1546977675747719935,,-28.0055114313,-10.5241525082,-2.0467372058,-7.92919926963,-2.10055505623,1.92002338139
1546977675756001497,243844,1546977675755663480,,-29.1371966681,-10.6613227607,-2.60949633718,-8.20668121501,-2.158046954,1.9554721655
1546977675764316160,243845,1546977675763730944,,-27.8910365536,-10.1566893413,-1.90455901664,-7.78644063285,-2.05240570394,1.91261860683
1546977675772053690,243846,1546977675771608881,,-28.5538128818,-10.8363093962,-2.53913991085,-8.26168686282,-2.22401170275,1.91955472438
1546977675780003671,243847,1546977675779613900,,-29.5446404656,-10.9882224953,-2.7268268799,-8.32722005567,-2.20218365712,2.00870290535
1546977675788024019,243848,1546977675787607415,,-29.0788454924,-10.7823097905,-2.59492609901,-8.22540163037,-2.1758471798,2.01719261946
1546977675796590782,243849,1546977675795840332,,-29.0272786003,-10.6529437881,-2.29881960746,-8.18700785994,-2.17418245175,1.96550026447
1546977675804065329,243850,1546977675803597172,,-27.995725462,-10.0937538045,-1.78203687606,-7.84365427669,-2.07258994561,1.89797666009
1546977675812202299,243851,1546977675811702790,,-28.106526411,-10.3954129392,-1.96012631105,-7.79587075525,-2.0508453586,1.92944019961
