%time,field.data
1548269844084751455,9.73416049859
1548269844091964115,10.4117603301
1548269844099901151,10.4875512841
1548269844108111908,8.46527194959
1548269844116399360,10.104666942
1548269844124216027,10.2383479348
1548269844132160933,9.73487869121
1548269844140148889,9.25948142182
1548269844148534596,8.89450927519
1548269844156092398,10.4860867808
1548269844163989803,10.8850755477
1548269844172082353,10.5219775526
1548269844180279948,9.94399703589
1548269844188410380,9.95209519666
1548269844196205668,9.315964926
1548269844203996709,10.2888323154
1548269844212411772,9.55073210583
1548269844220892319,10.325957802
1548269844228041849,10.7018526591
1548269844236331481,11.0624190022
1548269844244250240,9.85553781648
1548269844252480660,11.0093087537
1548269844260126396,9.48766853076
1548269844268387455,10.2201672573
1548269844276196761,10.7033962458
1548269844284553594,11.1626249071
1548269844292120979,9.14551766393
1548269844300127950,8.97712805253
1548269844308000144,9.53179340381
1548269844316087179,9.15108170065
1548269844324140132,9.81640166646
1548269844332215658,9.93381874951
1548269844340120072,9.46049004478
1548269844348079401,9.10316000676
1548269844355998425,10.2771072778
1548269844364244108,10.6193429457
1548269844372313572,10.1764942528
1548269844380075379,9.75374447573
1548269844388126100,9.36514061761
1548269844396221728,9.98559358512
1548269844404483174,10.3026064416
1548269844412109094,9.63642556167
1548269844420056217,9.25166192042
1548269844428222755,9.54994226763
1548269844436092558,10.8861792345
1548269844444057340,8.47089543809
1548269844452091588,9.22210149042
1548269844460075486,9.33486152772
1548269844468167193,8.17130423793
1548269844476094067,10.8925850652
1548269844484317222,9.68573584547
1548269844492436546,10.2668990132
1548269844500276609,10.36875727
1548269844508438956,10.741437405
1548269844516126616,11.621035749
1548269844524162115,10.3854181068
1548269844532507794,10.7063371562
1548269844540053374,8.90823069185
1548269844548449278,9.06752192805
1548269844556609111,9.78387943086
1548269844564398896,10.0961543753
1548269844572344188,9.78446738905
1548269844580458902,9.21111172488
1548269844588283094,10.1149018557
1548269844596402894,10.1431158013
1548269844604637007,10.602807468
1548269844612463815,10.4141176275
1548269844620130124,10.3311367267
1548269844628311081,10.2825921364
1548269844636710298,8.40969120674
1548269844644383643,11.103712235
1548269844652417493,8.53119602224
1548269844660652135,11.1138526581
1548269844668557357,9.9492297301
1548269844676057402,10.1357647132
1548269844684104879,10.7919101058
1548269844692025093,11.0994953001
1548269844700239659,10.494747845
1548269844707915782,10.8084821168
1548269844715871466,9.34273383603
1548269844724048648,10.5220558046
1548269844732158704,9.59549888702
1548269844739899029,11.4949403101
1548269844747964575,8.71430513919
1548269844756353498,9.11593237427
1548269844764055432,11.2544295725
1548269844771874786,10.026119917
1548269844779927123,9.17520448918
1548269844788311356,10.0707068905
1548269844796279697,9.95277335946
1548269844804370701,9.38009205699
1548269844812364598,9.82121525708
1548269844820755989,8.28075856449
1548269844828939662,9.6751685405
1548269844836384273,9.33055597578
1548269844844303964,10.3401150059
1548269844852720445,8.41858488486
1548269844860675564,10.7097116964
1548269844868309799,9.46788165323
1548269844876158887,10.5576095025
1548269844884717444,8.86343853575
1548269844892061298,9.4964891123
1548269844900522557,9.41848677734
1548269844908013942,9.41627046216
1548269844916417786,8.74841207934
1548269844924000423,11.1489430818
1548269844932080196,9.94638122574
1548269844940021279,10.8975005242
1548269844948510541,10.1712355336
1548269844955947716,9.7085884074
1548269844964299546,9.83584098091
1548269844972395759,10.2805967952
1548269844980459066,8.87433067903
1548269844988947105,11.1684003012
1548269844996456086,10.0403615062
1548269845004359410,10.096673251
1548269845012640395,10.3021794242
1548269845020154834,11.0300544949
1548269845028301445,10.5499210848
1548269845036208294,10.8328268734
1548269845044159063,9.52985761661
1548269845052230050,10.067752887
1548269845060360186,9.59897981739
1548269845068197924,12.137541661
1548269845076458639,8.71985768725
1548269845084540290,7.85785599647
1548269845092382241,10.4239731419
1548269845100335538,9.22597237729
1548269845108532365,9.17780901767
1548269845116575772,10.8837634849
1548269845124177893,9.46333503449
1548269845132207756,10.6481581479
1548269845140051434,9.93609247182
1548269845148080906,9.2964930444
1548269845156001070,9.48726075883
1548269845164151636,10.1405963072
1548269845172096435,9.83355403616
1548269845180379109,10.2799850429
1548269845188150355,9.49170402471
1548269845196015745,11.111010224
1548269845204169979,9.72180335184
1548269845212168922,10.450126179
1548269845219909796,9.99775481051
1548269845228211261,10.3329198838
1548269845236385362,9.97921986779
1548269845244410577,10.2223970454
1548269845252263603,10.2438674735
1548269845260355977,7.82008083178
1548269845268476539,10.3643484217
1548269845276648697,9.85619880679
1548269845284618274,10.0679979944
1548269845292634269,10.1823918586
1548269845300619546,9.17966266757
1548269845308703343,10.3750363115
1548269845316320175,8.50874169325
1548269845324210671,9.88552678093
1548269845332362657,9.99268640953
1548269845340382971,9.96499259348
1548269845348285979,10.1149953473
1548269845356163447,8.52178020777
1548269845364310333,10.5816338447
1548269845372170401,10.6733597034
1548269845380187448,9.69794271648
1548269845388393317,11.3340823626
1548269845396516794,8.90334710391
1548269845404463059,9.90583612049
1548269845412453481,10.9792948919
1548269845420150748,9.75716891696
1548269845428385195,10.2206892372
1548269845436339832,11.2025853441
1548269845444454989,10.0843108859
1548269845452468877,9.94695033269
1548269845460667969,10.4535430576
1548269845468649049,7.67933131302
1548269845476327271,9.99409371173
